Unnamed: 0,CustomerID,Age,Gender,Location,ProductCategory,PurchaseDate,PurchaseAmount,PaymentMethod,Quantity,DiscountPercentage,IsReturned,Rating,IsPromotion,CustomerSegment,ShippingDuration,Region,IngestionTimestamp,Source,Month
0,1,56,Male,Suburb,Clothing,01-01-2022,-100,Debit Card,5,0.300396075,FALSE,2,FALSE,New,2,South,52:10.3,System A,1
1,2,46,Female,Rural,Home Appliances,02-01-2022,999999,Cash,5,0.350432849,FALSE,3,FALSE,Returning,4,East,52:10.3,System A,1
2,3,,Female,Suburb,Home Appliances,03-01-2022,955.5640552,Debit Card,8,0.142602901,FALSE,5,FALSE,Returning,5,South,52:10.3,System A,1
3,4,60,Female,Suburb,Electronics,04-01-2022,527.3508333,Cash,9,0.31538521,FALSE,4,FALSE,New,,West,52:10.3,System A,1
4,10,25,Male,Suburb,Clothing,10-01-2022,306.5700212,Credit Card,9,0.227824775,FALSE,5,FALSE,Returning,5,North,52:10.3,System A,1
5,10,38,Male,Suburb,Home Appliances,10-01-2022,86.09345452,Credit Card,6,0.24100867,FALSE,4,FALSE,Returning,1,East,52:10.3,System A,1
6,7,56,Male,City,Home Appliances,07-01-2022,505.6180254,Cash,6,0.37888828,FALSE,4,FALSE,New,2,South,52:10.3,System A,1
7,8,36,Male,City,Electronics,08-01-2022,796.570389,Cash,9,0.140959178,FALSE,1,FALSE,New,4,East,52:10.3,System A,1
8,9,40,Male,Rural,Electronics,09-01-2022,710.0156125,Cash,4,0.159019806,TRUE,2,FALSE,New,1,South,52:10.3,System A,1
9,10,28,Male,City,Home Appliances,10-01-2022,59.72375135,Debit Card,6,0.462320896,FALSE,5,FALSE,New,5,East,52:10.3,System A,1
10,11,28,Male,City,Clothing,11-01-2022,82.17281701,Credit Card,4,0.028112147,TRUE,4,FALSE,New,5,South,52:10.3,System A,1
11,12,41,Male,Rural,Clothing,12-01-2022,408.8445498,Cash,1,0.242817149,FALSE,5,TRUE,Returning,4,North,52:10.3,System A,1
12,13,53,Female,Rural,Electronics,13-01-2022,302.3375891,Debit Card,7,0.4564004,FALSE,5,FALSE,Returning,1,South,52:10.3,System A,1
13,14,57,Female,Rural,Electronics,14-01-2022,240.0604798,Credit Card,6,0.305181504,FALSE,4,TRUE,Returning,7,West,52:10.3,System A,1
14,15,41,Male,City,Home Appliances,15-01-2022,288.1944539,Debit Card,9,0.273203537,FALSE,3,FALSE,New,6,East,52:10.3,System A,1
15,16,20,Male,City,Electronics,16-01-2022,805.4479159,Credit Card,7,0.12487209,FALSE,2,TRUE,New,3,East,52:10.3,System A,1
16,17,39,Female,Rural,Home Appliances,17-01-2022,929.9357731,Debit Card,7,0.171637745,FALSE,2,FALSE,Returning,4,West,52:10.3,System A,1
17,18,19,Male,Suburb,Clothing,18-01-2022,411.0516676,Credit Card,2,0.426024208,FALSE,1,FALSE,New,5,West,52:10.3,System A,1
18,19,41,Male,Rural,Clothing,19-01-2022,907.0498921,Credit Card,9,0.279609066,FALSE,1,FALSE,New,2,North,52:10.3,System A,1
19,20,61,Male,Suburb,Home Appliances,20-01-2022,328.2807442,Debit Card,9,0.257371097,FALSE,1,FALSE,Returning,1,East,52:10.3,System A,1
20,21,47,Female,Suburb,Electronics,21-01-2022,481.6726165,Cash,6,0.049789857,FALSE,2,FALSE,New,6,North,52:10.3,System A,1
21,22,55,Female,Rural,Clothing,22-01-2022,233.7687078,Credit Card,3,0.008014078,TRUE,3,FALSE,Returning,3,East,52:10.3,System A,1
22,23,19,Female,Rural,Electronics,23-01-2022,644.0712818,Cash,1,0.481842594,TRUE,2,FALSE,New,2,East,52:10.3,System A,1
23,24,38,Female,Rural,Clothing,24-01-2022,979.191304,Debit Card,4,0.188493084,FALSE,2,FALSE,Returning,1,North,52:10.3,System A,1
24,25,50,Female,City,Home Appliances,25-01-2022,607.4581651,Cash,3,0.301606531,FALSE,2,FALSE,Returning,6,East,52:10.3,System A,1
25,26,29,Male,Suburb,Home Appliances,26-01-2022,364.2359433,Cash,1,0.039857537,FALSE,2,FALSE,Returning,4,East,52:10.3,System A,1
26,27,39,Female,City,Home Appliances,27-01-2022,651.3392715,Cash,3,0.341557143,FALSE,3,TRUE,New,6,North,52:10.3,System A,1
27,28,61,Male,City,Clothing,28-01-2022,131.6914717,Cash,4,0.466283354,FALSE,1,FALSE,Returning,4,South,52:10.3,System A,1
28,29,42,Male,Rural,Electronics,29-01-2022,889.7724895,Cash,8,0.287832626,FALSE,5,FALSE,Returning,7,North,52:10.3,System A,1
29,30,44,Female,City,Electronics,30-01-2022,508.0531113,Credit Card,9,0.063057661,FALSE,1,TRUE,Returning,1,East,52:10.3,System A,1
30,31,59,Female,Rural,Electronics,31-01-2022,454.8562446,Credit Card,3,0.290860764,FALSE,1,FALSE,Returning,6,West,52:10.3,System A,1
31,32,45,Male,Suburb,Clothing,01-02-2022,590.0061406,Credit Card,6,0.383173607,FALSE,5,FALSE,Returning,3,South,52:10.3,System A,2
32,33,33,Male,Rural,Clothing,02-02-2022,628.5360242,Debit Card,5,0.203208268,FALSE,2,FALSE,New,6,West,52:10.3,System A,2
33,34,32,Male,City,Clothing,03-02-2022,81.05804816,Cash,6,0.439918874,FALSE,3,TRUE,Returning,1,South,52:10.3,System A,2
34,35,64,Female,City,Clothing,04-02-2022,685.791049,Credit Card,4,0.324341477,FALSE,3,FALSE,Returning,2,West,52:10.3,System A,2
35,36,61,Female,Rural,Clothing,05-02-2022,249.5123635,Debit Card,6,0.449624459,FALSE,1,TRUE,New,2,South,52:10.3,System A,2
36,37,20,Female,Rural,Electronics,06-02-2022,716.8131062,Credit Card,7,0.311752656,FALSE,5,TRUE,New,6,North,52:10.3,System A,2
37,38,54,Female,City,Clothing,07-02-2022,824.3094464,Credit Card,9,0.065643986,FALSE,4,FALSE,Returning,6,South,52:10.3,System A,2
38,39,24,Female,Suburb,Clothing,08-02-2022,805.9189225,Cash,7,0.154845856,FALSE,2,FALSE,Returning,4,South,52:10.3,System A,2
39,40,38,Male,Suburb,Electronics,09-02-2022,556.9759577,Debit Card,6,0.100897474,FALSE,1,FALSE,New,1,South,52:10.3,System A,2
40,41,26,Female,Rural,Clothing,10-02-2022,524.9681934,Cash,1,0.454413249,TRUE,3,TRUE,New,4,East,52:10.3,System A,2
41,42,56,Male,Suburb,Electronics,11-02-2022,151.4472017,Cash,2,0.380200034,TRUE,5,FALSE,New,3,West,52:10.3,System A,2
42,43,35,Male,City,Electronics,12-02-2022,777.5926889,Credit Card,1,0.338199184,FALSE,5,TRUE,Returning,7,North,52:10.3,System A,2
43,44,21,Male,Rural,Home Appliances,13-02-2022,278.6952866,Cash,9,0.15048316,TRUE,1,FALSE,New,2,West,52:10.3,System A,2
44,45,42,Female,City,Home Appliances,14-02-2022,501.7284686,Debit Card,9,0.092022386,FALSE,4,FALSE,Returning,5,West,52:10.3,System A,2
45,46,31,Female,City,Home Appliances,15-02-2022,291.431352,Cash,7,0.378225544,FALSE,3,FALSE,New,5,North,52:10.3,System A,2
46,47,26,Female,Suburb,Home Appliances,16-02-2022,142.4900794,Cash,2,0.237078973,FALSE,1,TRUE,Returning,1,East,52:10.3,System A,2
47,48,43,Male,Rural,Clothing,17-02-2022,633.2621199,Cash,6,0.112894776,FALSE,4,FALSE,Returning,1,South,52:10.3,System A,2
48,49,19,Male,Rural,Home Appliances,18-02-2022,63.78871447,Credit Card,4,0.308310989,FALSE,5,FALSE,New,5,East,52:10.3,System A,2
49,50,37,Male,Suburb,Electronics,19-02-2022,751.1587818,Debit Card,1,0.020166926,FALSE,2,TRUE,New,1,East,52:10.3,System A,2
50,51,45,Male,City,Clothing,20-02-2022,324.4109273,Credit Card,1,0.163085127,FALSE,3,TRUE,Returning,2,South,52:10.3,System A,2
51,52,64,Male,City,Home Appliances,21-02-2022,10.13334607,Credit Card,5,0.234278497,FALSE,3,FALSE,New,3,West,52:10.3,System A,2
52,53,24,Male,City,Electronics,22-02-2022,516.0178478,Credit Card,2,0.073979167,FALSE,4,FALSE,New,3,South,52:10.3,System A,2
53,54,61,Female,City,Clothing,23-02-2022,56.38338944,Credit Card,4,0.492327239,FALSE,1,FALSE,Returning,4,North,52:10.3,System A,2
54,55,25,Female,Rural,Clothing,24-02-2022,283.4078622,Credit Card,1,0.104548682,FALSE,5,FALSE,Returning,2,South,52:10.3,System A,2
55,56,64,Female,Rural,Home Appliances,25-02-2022,709.9067226,Debit Card,4,0.065176565,FALSE,4,FALSE,Returning,7,West,52:10.3,System A,2
56,57,52,Female,Suburb,Clothing,26-02-2022,72.06272541,Cash,6,0.101767437,TRUE,2,FALSE,New,1,East,52:10.3,System A,2
57,58,31,Male,Suburb,Electronics,27-02-2022,840.9451074,Credit Card,4,0.384530567,FALSE,2,TRUE,New,1,East,52:10.3,System A,2
58,59,34,Male,Rural,Clothing,28-02-2022,13.78172343,Credit Card,1,0.21275283,TRUE,2,TRUE,New,7,South,52:10.3,System A,2
59,60,53,Female,Rural,Electronics,01-03-2022,254.3556305,Debit Card,7,0.28270797,FALSE,4,FALSE,Returning,4,North,52:10.3,System A,3
60,61,57,Male,City,Clothing,02-03-2022,743.4950156,Debit Card,2,0.010504578,TRUE,5,FALSE,Returning,4,West,52:10.3,System A,3
61,62,21,Female,City,Home Appliances,03-03-2022,323.1074482,Cash,9,0.017215654,FALSE,3,FALSE,Returning,1,East,52:10.3,System A,3
